# Created from the data file from Mimmo using the preprocess script
# Only includes columns of relevance: time, flux, local_sky, and data quality flag
# Daniel Apai
1575.473124437,119.675049559,135.006622310,0
1575.493957768,117.577245043,135.300628660,0
1575.514791098,118.470200647,135.136047360,0
1575.535624428,117.459216609,135.159286500,0
1575.556457758,117.778446047,135.109222410,0
1575.577291086,117.169712421,135.290878300,0
1575.598124415,119.996387562,134.950836180,0
1575.618957742,117.650916858,135.468872070,0
1575.639791069,120.306707118,135.243911740,0
1575.660624396,119.138595504,135.250259400,0
1575.681457722,116.743514669,135.170486450,0
1575.702291047,117.808817282,135.184890750,0
1575.723124371,117.140873995,135.535552980,0
1575.743957695,133.229776702,150.960311890,32
1575.764791019,118.382604903,135.365753170,0
1575.785624342,117.861757281,135.256301880,0
1575.806457664,117.721253003,135.138000490,0
1575.827290985,116.415999719,135.596939090,0
1575.848124306,118.046966685,135.254394530,0
1575.868957627,117.559501549,135.472290040,0
1575.889790947,117.876402219,135.160293580,0
1575.910624266,117.049850679,135.495986940,0
1575.931457584,119.175244610,135.196838380,0
1575.952290902,118.083545359,135.434967040,0
1575.973124220,118.977267925,135.330261230,0
1575.993957536,119.401655414,135.430450440,0
1576.014790852,117.989866026,135.202850340,0
1576.035624167,116.656714266,135.160858150,0
1576.056457482,116.071466620,135.503692630,0
1576.077290796,115.896860598,135.292907710,0
1576.098124110,118.391637658,135.422561650,0
1576.118957423,117.453264479,135.694747920,0
1576.139790735,118.691637085,134.978454590,0
1576.160624047,115.902786162,135.693328860,0
1576.181457358,116.560702441,135.593704220,0
1576.202290669,116.136850425,135.563705440,0
1576.223123979,115.519649892,135.241043090,0
1576.243957288,112.636120565,135.632217410,0
1576.264790597,116.033445397,135.357070920,0
1576.285623905,115.587224632,135.696166990,0
1576.306457213,120.121714980,135.334808350,0
1576.327290519,119.346241890,135.545776370,0
1576.348123826,119.000011675,135.133911130,0
1576.368957131,118.018640627,135.123657230,0
1576.389790436,117.665302594,135.688568120,0
1576.410623740,117.403427505,135.699096680,0
1576.431457044,116.024384179,135.159606930,0
1576.452290347,111.468573666,135.507049560,0
1576.473123649,111.754409468,135.683746340,0
1576.493956951,113.825042202,135.378585820,0
1576.514790252,117.163559139,135.185531620,0
1576.535623553,118.745189254,135.197875980,0
1576.556456853,117.925988133,135.390594480,0
1576.577290152,117.716867282,135.558212280,0
1576.598123450,119.194187070,135.401962280,0
1576.618956749,118.654797914,135.256164550,0
1576.639790046,117.300425637,135.386779790,0
1576.660623342,111.006183642,135.108978270,0
1576.681456639,110.625517674,135.346206670,0
1576.702289934,114.376402371,135.046417240,0
1576.723123229,114.914813351,135.315963750,0
1576.743956523,116.727998804,135.416900630,0
1576.764789816,116.140210275,135.235260010,0
1576.785623109,116.474636566,135.255859380,0
1576.806456401,117.331235547,135.367935180,0
