#first HST orbit is affected by the ramp effect 
Time (MJD), Luh16A_flux, Luh16B_flux,Luh16A_flux_err,Luh16B_flux_err 
     59707.3305, 3.516e-11, 4.055e-11, 5.885e-14, 6.62e-14
     59707.3308, 3.518e-11, 4.056e-11, 5.766e-14, 6.622e-14
     59707.3311, 3.515e-11, 4.049e-11, 5.773e-14, 6.609e-14
     59707.3314, 3.512e-11, 4.056e-11, 5.877e-14, 6.628e-14
     59707.3317, 3.516e-11, 4.048e-11, 5.778e-14, 6.602e-14
      59707.332, 3.517e-11, 4.056e-11, 5.771e-14, 6.651e-14
     59707.3323, 3.512e-11, 4.051e-11, 5.77e-14, 6.62e-14
     59707.3326, 3.52e-11, 4.049e-11, 5.764e-14, 6.605e-14
     59707.3692, 3.502e-11, 4.003e-11, 5.734e-14, 6.485e-14
     59707.3695, 3.504e-11, 4.008e-11, 5.742e-14, 6.521e-14
     59707.3698, 3.502e-11, 4.005e-11, 5.743e-14, 6.487e-14
     59707.3701, 3.499e-11, 4.01e-11, 5.731e-14, 6.526e-14
     59707.3704, 3.501e-11, 4.012e-11, 5.734e-14, 6.532e-14
     59707.3707, 3.507e-11, 4.009e-11, 5.757e-14, 6.508e-14
      59707.371, 3.501e-11, 4.011e-11, 5.714e-14, 6.504e-14
     59707.3713, 3.506e-11, 4.011e-11, 5.735e-14, 6.531e-14
     59707.3716, 3.505e-11, 4.011e-11, 5.742e-14, 6.497e-14
     59707.3719, 3.501e-11, 4.011e-11, 5.728e-14, 6.531e-14
     59707.3722, 3.509e-11, 4.017e-11, 5.746e-14, 6.53e-14
     59707.3725, 3.505e-11, 4.014e-11, 5.742e-14, 6.507e-14
     59707.3728, 3.508e-11, 4.021e-11, 5.752e-14, 6.541e-14
     59707.3731, 3.501e-11, 4.02e-11, 5.74e-14, 6.55e-14
     59707.3734, 3.507e-11, 4.017e-11, 5.753e-14, 6.525e-14
     59707.3737, 3.502e-11, 4.014e-11, 5.742e-14, 6.512e-14
      59707.374, 3.503e-11, 4.019e-11, 5.86e-14, 6.659e-14
     59707.3743, 3.503e-11, 4.021e-11, 5.732e-14, 6.531e-14
     59707.3746, 3.503e-11, 4.02e-11, 5.857e-14, 6.532e-14
     59707.3749, 3.505e-11, 4.016e-11, 5.742e-14, 6.508e-14
     59707.3752, 3.508e-11, 4.017e-11, 5.747e-14, 6.513e-14
     59707.3755, 3.502e-11, 4.029e-11, 5.729e-14, 6.554e-14
     59707.3758, 3.506e-11, 4.019e-11, 5.748e-14, 6.519e-14
     59707.3761, 3.505e-11, 4.021e-11, 5.742e-14, 6.53e-14
     59707.3764, 3.508e-11, 4.022e-11, 5.744e-14, 6.523e-14
     59707.3767, 3.503e-11, 4.026e-11, 5.738e-14, 6.55e-14
      59707.377, 3.508e-11, 4.021e-11, 5.746e-14, 6.533e-14
     59707.3773, 3.502e-11, 4.023e-11, 5.732e-14, 6.517e-14
     59707.3776, 3.5e-11, 4.024e-11, 5.726e-14, 6.53e-14
     59707.3779, 3.506e-11, 4.024e-11, 5.845e-14, 6.542e-14
     59707.3782, 3.507e-11, 4.029e-11, 5.729e-14, 6.539e-14
     59707.3785, 3.512e-11, 4.026e-11, 5.758e-14, 6.54e-14
     59707.3788, 3.506e-11, 4.029e-11, 5.742e-14, 6.549e-14
     59707.3791, 3.51e-11, 4.02e-11, 5.769e-14, 6.516e-14
     59707.3794, 3.507e-11, 4.024e-11, 5.742e-14, 6.511e-14
     59707.3797, 3.507e-11, 4.023e-11, 5.735e-14, 6.509e-14
       59707.38, 3.508e-11, 4.024e-11, 5.755e-14, 6.527e-14
     59707.3803, 3.505e-11, 4.028e-11, 5.743e-14, 6.531e-14
     59707.3806, 3.503e-11, 4.021e-11, 5.734e-14, 6.502e-14
     59707.3809, 3.504e-11, 4.028e-11, 5.737e-14, 6.508e-14
     59707.3812, 3.501e-11, 4.027e-11, 5.736e-14, 6.563e-14
     59707.3816, 3.508e-11, 4.026e-11, 5.875e-14, 6.529e-14
     59707.3819, 3.507e-11, 4.026e-11, 6.302e-14, 6.515e-14
     59707.3822, 3.505e-11, 4.03e-11, 5.877e-14, 6.523e-14
     59707.3825, 3.508e-11, 4.033e-11, 5.738e-14, 6.542e-14
     59707.3828, 3.509e-11, 4.03e-11, 5.761e-14, 6.535e-14
     59707.3831, 3.506e-11, 4.03e-11, 5.832e-14, 6.542e-14
     59707.3834, 3.509e-11, 4.033e-11, 5.747e-14, 6.546e-14
     59707.3837, 3.513e-11, 4.037e-11, 5.762e-14, 6.551e-14
      59707.384, 3.51e-11, 4.041e-11, 5.755e-14, 6.575e-14
     59707.3843, 3.51e-11, 4.028e-11, 5.744e-14, 6.53e-14
     59707.3846, 3.508e-11, 4.032e-11, 5.748e-14, 6.532e-14
     59707.3849, 3.5e-11, 4.035e-11, 5.719e-14, 6.542e-14
     59707.3852, 3.507e-11, 4.038e-11, 5.749e-14, 6.552e-14
     59707.3855, 3.504e-11, 4.035e-11, 5.73e-14, 6.534e-14
     59707.3858, 3.509e-11, 4.037e-11, 5.747e-14, 6.552e-14
     59707.3861, 3.507e-11, 4.036e-11, 5.735e-14, 6.558e-14
     59707.3864, 3.506e-11, 4.037e-11, 5.739e-14, 6.543e-14
     59707.3867, 3.511e-11, 4.04e-11, 5.745e-14, 6.554e-14
      59707.387, 3.51e-11, 4.036e-11, 5.75e-14, 6.553e-14
     59707.3873, 3.511e-11, 4.039e-11, 5.756e-14, 6.559e-14
     59707.3876, 3.511e-11, 4.043e-11, 5.74e-14, 6.591e-14
     59707.3879, 3.513e-11, 4.043e-11, 5.763e-14, 6.551e-14
     59707.3882, 3.512e-11, 4.043e-11, 5.893e-14, 6.556e-14
     59707.3885, 3.513e-11, 4.044e-11, 5.761e-14, 6.566e-14
     59707.3888, 3.511e-11, 4.042e-11, 5.753e-14, 6.569e-14
     59707.3891, 3.511e-11, 4.047e-11, 5.743e-14, 6.61e-14
     59707.3894, 3.515e-11, 4.039e-11, 5.766e-14, 6.562e-14
     59707.3897, 3.513e-11, 4.044e-11, 5.748e-14, 6.565e-14
       59707.39, 3.512e-11, 4.045e-11, 5.866e-14, 6.577e-14
     59707.3903, 3.515e-11, 4.039e-11, 5.744e-14, 6.549e-14
     59707.3906, 3.515e-11, 4.049e-11, 5.769e-14, 6.585e-14
     59707.3909, 3.511e-11, 4.044e-11, 5.741e-14, 6.562e-14
