TIME	PSF_FLUX_NORM	PSF_EFLUX	X_POSITION	Y_POSITION	DQUALITY
2298.332971407	1.0074426370452079	0.04734980394112477	540.1474	156.2646	0
2298.339915908	1.0054644851979457	0.04725683080430345	540.1477	156.2634	0
2298.34686041	1.0049853411964664	0.04723431103623392	540.1481	156.2633	0
2298.353804911	0.9957546591260664	0.04680046897892512	540.1471	156.2637	0
2298.360749413	0.983405804011461	0.04622007278853867	540.1492	156.2623	0
2298.367693915	0.9682041039105079	0.045505592883793876	540.1495	156.2662	0
2298.374638416	0.9806103373218445	0.0460886858541267	540.1472	156.2633	0
2298.381582917	0.9786489514996478	0.045996500720483446	540.1485	156.2646	0
2298.388527419	0.9740937103458551	0.04578240438625519	540.1471	156.2639	0
2298.39547192	0.9861209811579227	0.046347686114422366	540.1479	156.2631	0
2298.402416421	1.0011823462823042	0.0470555702752683	540.1476	156.2642	0
2298.409360922	1.0011428801966382	0.047053715369241994	540.1477	156.2637	0
2298.416305423	1.0140374609121996	0.047659760662873384	540.1483	156.2639	0
2298.423249925	1.0116969743061377	0.04754975779238847	540.1462	156.2626	0
2298.430194426	1.0345454122520394	0.04862363437584585	540.1492	156.2639	0
2298.437138926	1.0131115046963488	0.04761624072072839	540.1479	156.2652	0
2298.444083427	1.0139556770697038	0.04765591682227608	540.1464	156.2626	0
2298.451027928	1.0229241482333282	0.048077434966966426	540.1489	156.2633	0
2298.457972429	1.0019332543205475	0.047090862953065735	540.1472	156.2644	0
2298.46491693	1.0283222649875765	0.048331146454416093	540.149	156.2662	0
2298.471861431	1.0234711736494413	0.04810314516152374	540.1474	156.2637	0
2298.478805931	1.0130497813362815	0.04761333972280523	540.1489	156.2629	0
2298.485750432	1.0203374407300756	0.047955859714313556	540.1473	156.2627	0
2298.492694933	1.0054260448909664	0.04725502410987542	540.1478	156.2653	0
2298.499639433	1.001701211770066	0.04707995695319311	540.1472	156.2642	0
2298.506583934	0.9894631283092051	0.04650476703053264	540.1481	156.2628	0
2298.513528434	0.9921299294782752	0.046630106685478935	540.1488	156.2655	0
2298.520472934	1.0030820784053327	0.04714485768505064	540.148	156.2623	0
2298.527417435	1.008322372015373	0.047391151484722525	540.1469	156.2642	0
2298.534361935	1.0183090679688644	0.04786052619453663	540.1472	156.2613	0
2298.541306435	0.9793829950946534	0.04603100076944871	540.1468	156.2632	0
2298.548250935	0.9954938449007127	0.0467882107103335	540.1493	156.263	0
2298.555195435	0.9975883922824779	0.04688665443727646	540.1463	156.2636	0
2298.562139935	0.9823482394430832	0.04617036725382491	540.1478	156.2617	0
